STATION,ARRIVAL,HALT,DEPARTURE,DAYS,DISTANCE
TUTICORIN (TN),SRC,0 min,20.15,1,0
VANCHI MANIYACHCHI JN (MEJ),20.44,1 min,20.45,1,32
KADAMBUR (KDU),20.55,1 min,20.56,1,46
KOVILPATTI (CVP),21.18,2 min,21.20,1,68
SATUR (SRT),21.38,2 min,21.40,1,89
VIRUDUNAGAR JN (VPT),22.03,2 min,22.05,1,116
TIRUMANGALAM (TMQ),22.26,1 min,22.27,1,142
MADURAI JN (MDU),23.00,5 min,23.05,1,159
DINDIGUL JN (DG),00.12,3 min,00.15,2,225
TIRUCHCHIRAPPALLI JN (TPJ),01.30,5 min,01.35,2,320
VRIDDHACHALAM JN (VRI),03.08,2 min,03.10,2,443
VILLUPURAM JN (VM),04.10,5 min,04.15,2,497
TINDIVANAM (TMV),04.45,2 min,04.47,2,534
MELMARUVATHUR (MLMR),05.08,2 min,05.10,2,565
MADURANTAKAM (MMK),05.23,2 min,05.25,2,575
CHENGALPATTU JN (CGL),05.53,2 min,05.55,2,600
TAMBARAM (TBM),06.23,2 min,06.25,2,631
MAMBALAM (MBM),06.44,1 min,06.45,2,649
CHENNAI EGMORE (MS),07.30,0 min,DST,2,656
